,ID Tag,Model,WO count,AVG Labor,Labor Cost,No Problem,Avg Cost,Travel ,Travel Cost,Department,cluster
47,48,SONOS 5500,1,150.0,187.5,0,0.0,2.0,150.0,ADVANCED CARDIOLOGY ,0
23,24,VOLUSON 730 EXP,41,75.36585365853658,94.20731707317073,0,177.38243902439024,2.0,150.0,Maternal Fetal Medicine,0
21,22,LOGIQ 200A,17,62.470588235294116,78.08823529411765,1,95.96235294117646,2.0,150.0,Maternal Fetal Medicine,0
1,2,ASPEN,1,24.0,30.0,0,0.0,2.0,150.0,CARDIOVASCULAR IMAGING,0
2,3,IE33,4,210.0,262.5,0,0.0,2.0,150.0,CARDIOVASCULAR IMAGING,0
3,4,BVI 9400,9,54.666666666666664,68.33333333333333,1,0.0,2.0,150.0,REHAB CENTER,0
4,5,BVI 9400,1,102.0,127.5,0,0.0,2.0,150.0,REHAB CENTER,0
5,6,X300,6,215.0,268.75,0,0.0,2.0,150.0,CARDIOLOGY CNT,0
6,7,X300 PREMIUM EDITIO,19,156.31578947368422,195.3947368421053,0,300.0,2.0,150.0,HEART GROUP,0
7,8,LOGIQ E,1,90.0,112.5,0,0.0,2.0,150.0,SPORTS MED,0
8,9,LOGIQ9 2404587,57,90.21052631578948,112.76315789473685,2,35.89982456140351,1.0701754385964912,80.26315789473684,ULTRASOUND,0
9,10,LOGIQ9 2404587,42,100.42857142857143,125.53571428571429,2,32.389761904761905,1.0714285714285714,80.35714285714286,ULTRASOUND,0
22,23,VOLUSON 730 EXP,46,99.3913043478261,124.23913043478262,1,152.17391304347825,2.0,150.0,Maternal Fetal Medicine,0
10,11,LOGIQ E9,28,107.57142857142857,134.46428571428572,0,9.633928571428571,1.1785714285714286,88.39285714285714,ULTRASOUND,0
12,13,S NERVE,4,79.5,99.375,0,0.0,1.0,75.0,ANESTHESIA,0
13,14,VIVID 7,4,112.5,140.625,0,0.0,2.0,150.0,CARD ASSOC,0
14,15,VIVID 7,14,138.42857142857142,173.03571428571428,0,315.57142857142856,2.0,150.0,CARD ASSOC,0
15,16,VIVIDQ,1,0.0,0.0,0,0.0,2.0,150.0,CARD ASSOC,0
16,17,SEQUOIA C512,7,107.14285714285714,133.92857142857142,0,0.0,2.0,150.0,CV IMAGING,0
17,18,VIVID E9,5,84.0,105.0,0,0.0,2.0,150.0,CARD ASSOC,0
18,19,LOGIQ S8,19,101.36842105263158,126.71052631578947,0,0.0,1.0,75.0,CARDIAC NON-INVASIVE,0
19,20,LOGIQ P5,6,61.0,76.25,0,0.0,2.0,150.0,Maternal Fetal Medicine,0
20,21,LOGIQ E,14,89.57142857142857,111.96428571428572,0,0.0,1.4285714285714286,107.14285714285714,CARD ASSOC,0
11,12,M2540A ENVISOR,12,167.5,209.375,0,0.0,2.0,150.0,CARD ASSOC,0
194,195,FLEX FOCUS 500,1,90.0,112.5,0,0.0,0.0,0.0,ENDOSCOPY,0
48,49,LOGIQ E,4,75.0,93.75,0,0.0,2.0,150.0,CARD ASSOC,0
50,51,HD11XE,1,6.0,7.5,0,0.0,2.0,150.0,ADVANCED CARDIOLOGY,0
75,76,S-CATH,39,80.3076923076923,100.38461538461537,2,0.0,1.0,75.0,X-RAY SPECIAL PROCEDURES,0
76,77,TITAN,42,107.71428571428571,134.64285714285714,3,21.815238095238094,1.0,75.0,X-RAY SPECIAL PROCEDURES,0
77,78,VIVID 7,80,104.7,130.875,4,46.976625,1.0,75.0,PEDIATRIC CARDIOLOGY,0
78,79,IE33,52,121.73076923076923,152.16346153846152,0,211.69230769230768,1.0,75.0,PEDIATRIC CARDIOLOGY,0
79,80,VIVID-I,49,129.79591836734693,162.24489795918365,1,45.00224489795919,1.0,75.0,PEDIATRIC CARDIOLOGY,0
80,81,VIVID E9,35,91.71428571428571,114.64285714285714,0,9.718,1.0,75.0,PEDIATRIC CARDIOLOGY,0
81,82,VIVID 7,33,90.72727272727273,113.40909090909092,0,0.0,1.0,75.0,PEDIATRIC CARDIOLOGY,0
82,83,VOLUSON E8,17,72.3529411764706,90.44117647058825,0,0.0,1.0,75.0,PEDIATRIC CARDIOLOGY,0
83,84,IE33,16,102.0,127.5,0,0.0,1.0,75.0,PEDIATRIC CARDIOLOGY,0
84,85,LOGIQ I,53,82.75471698113208,103.4433962264151,2,9.812830188679245,1.0,75.0,ULTRASOUND,0
85,86,LOGIQ9 2404587,67,84.80597014925372,106.00746268656715,3,71.50805970149256,1.0,75.0,ULTRASOUND,0
86,87,SEQUOIA 512,39,110.76923076923077,138.46153846153848,2,54.97435897435897,1.1794871794871795,88.46153846153847,PEDIATRIC CARDIOLOGY,0
87,88,LOGIQ E9,52,112.26923076923077,140.33653846153845,0,18.615384615384617,1.0,75.0,ULTRASOUND,0
88,89,LOGIQ E9,28,102.0,127.5,0,17.428571428571427,1.0,75.0,RADIOLOGY,0
89,90,S SERIES,4,48.0,60.0,0,8.125,1.0,75.0,CLINIC - AMBULATORY SERV,0
90,91,SSA-550A-2,10,123.0,153.75,0,0.0,1.0,75.0,EMERGENCY DEPARTMENT,0
91,92,M-TURBO,7,95.14285714285714,118.92857142857142,0,0.0,1.0,75.0,EMERGENCY DEPARTMENT,0
92,93,BVI 9400,1,12.0,15.0,0,0.0,1.0,75.0,EMERGENCY DEPARTMENT,0
93,94,LOGIQ E,13,75.6923076923077,94.61538461538461,1,0.0,1.0,75.0,EMERGENCY DEPARTMENT,0
94,95,LOGIQ S6,40,75.6,94.5,0,0.0,1.0,75.0,RADIOLOGY - MAMMOGRAPHY,0
95,96,LOGIQ P6,22,69.54545454545455,86.93181818181819,0,0.0,1.0,75.0,RADIOLOGY - MAMMOGRAPHY,0
74,75,S-CATH,3,110.0,137.5,0,0.0,1.0,75.0,CARDIAC ELECTROPHYSIOLOGY,0
73,74,LOGIQ P5,15,106.8,133.5,0,0.0,1.0,75.0,LABOR AND DELIVERY,0
72,73,VOLUSON I BT11,25,90.24,112.8,0,0.0,2.0,150.0,Maternal Fetal Medicine,0
71,72,2270969,8,79.5,99.375,0,0.0,1.0,75.0,LABOR AND DELIVERY,0
51,52,IE33,3,124.0,155.00000000000003,0,66.66666666666667,2.0,150.0,CARDIOVASCULAR IMAGING,0
52,53,IE33,3,188.0,235.0,0,0.0,2.0,150.0,CARDIOVASCULAR IMAGING,0
53,54,IE33,1,60.0,75.0,0,0.0,2.0,150.0,CARDIOVASCULAR IMAGING,0
54,55,IE33,3,180.0,225.0,0,0.0,2.0,150.0,MEDICAL INST ,0
56,57,X300,1,6.0,7.5,0,0.0,2.0,150.0,CARD ASSOC,0
57,58,IE33,1,0.0,0.0,0,0.0,2.0,150.0,CARDIOVASCULAR IMAGING,0
58,59,VIVID E9,2,255.0,318.75,0,0.0,2.0,150.0,CARDIAC IMAGING ,0
59,60,LOGIQ S8,23,129.1304347826087,161.41304347826085,0,0.0,2.0,150.0,ULTRASOUND,0
60,61,ANTARES 5936518,25,127.2,159.0,0,0.0,2.0,150.0,ULTRASOUND,0
49,50,IE33,11,158.72727272727272,198.4090909090909,0,86.36363636363636,2.0,150.0,CARDIOVASCULAR IMAGING,0
61,62,ANTARES 5936518,15,142.0,177.5,0,0.0,2.0,150.0,ULTRASOUND,0
63,64,M-TURBO,2,60.0,75.0,0,0.0,2.0,150.0,ER,0
64,65,IE33,11,94.9090909090909,118.63636363636364,0,0.0,2.0,150.0,EKG,0
65,66,HD15,4,67.5,84.375,0,0.0,2.0,150.0,EKG,0
66,67,LOGIQ E,5,115.2,144.0,0,0.0,2.0,150.0,OPERATING ROOM,0
67,68,LOGIQ E9,3,110.0,137.5,0,0.0,2.0,150.0,BREAST CENTER,0
68,69,EDGE,2,105.0,131.25,0,0.0,2.0,150.0,ULTRASOUND,0
69,70,EDGE,1,60.0,75.0,0,0.0,1.0,75.0,INTENSIVE CARE UNIT,0
70,71,S-ICU,1,36.0,45.0,0,0.0,1.0,75.0,PEDIATRIC INTENSIVE CARE,0
62,63,ACUSON S2000,16,85.6,106.99999999999999,0,0.0,2.0,150.0,BREAST CENTER,0
35,36,SEQUOIA C512,7,120.0,150.0,1,734.0,2.0,150.0,CARDIOLOGY CNT,1
55,56,CX50,1,480.0,600.0,0,500.0,2.0,150.0,CARD ASSOC,1
29,30,LOGIQ 7,18,142.0,177.5,0,575.3777777777777,2.0,150.0,RADIOLGY ASSOC,1
97,98,IE33,24,164.25,205.3125,0,1420.1666666666667,1.0,75.0,ANESTHESIA,1
